ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","204665","Notavailable","10.3","10.5","0.15"
"C91-95","Leukaemia","67008","Notavailable","3.4","3.4","0.05"
"C70-72","Brain,centralnervoussystem","24388","Notavailable","1.2","1.2","0.02"
"C82-86, C96","Non-Hodgkinlymphoma","18931","Notavailable","0.95","0.95","0.01"
"C64-65","Kidney","13777","Notavailable","0.69","0.74","0.01"
"C81","Hodgkinlymphoma","7600","Notavailable","0.38","0.36","0.01"
"C22","Liver","4487","Notavailable","0.23","0.24","0.00"
"C56","Ovary","2474","Notavailable","0.26","0.24","0.00"
"C62","Testis","2330","Notavailable","0.23","0.24","0.00"
"C73","Thyroid","2296","Notavailable","0.12","0.11","0.00"
"C11","Nasopharynx","1503","Notavailable","0.08","0.07","0.00"
"C00-06","Lip,oralcavity","1228","Notavailable","0.06","0.06","0.00"
"C46","Kaposisarcoma","983","Notavailable","0.05","0.05","0.00"
"C07-08","Salivaryglands","838","Notavailable","0.04","0.04","0.00"
"C43","Melanomaofskin","757","Notavailable","0.04","0.04","0.00"
"C18-21","Colorectum","615","Notavailable","0.03","0.03","0.00"
"C67","Bladder","596","Notavailable","0.03","0.03","0.00"
"C33-34","Lung","439","Notavailable","0.02","0.02","0.00"
"C16","Stomach","416","Notavailable","0.02","0.02","0.00"
"C52","Vagina","212","Notavailable","0.02","0.02","0.00"
"C32","Larynx","207","Notavailable","0.01","0.01","0.00"
"C09-10","Oropharynx","207","Notavailable","0.01","0.01","0.00"
"C50","Breast","169","Notavailable","0.02","0.02","0.00"
"C25","Pancreas","150","Notavailable","0.01","0.01","0.00"
"C60","Penis","94","Notavailable","0.01","0.01","0.00"
"C53","Cervixuteri","92","Notavailable","0.01","0.01","0.00"
"C51","Vulva","92","Notavailable","0.01","0.01","0.00"
"C88+C90","Multiplemyeloma","87","Notavailable","0.00","0.00","0.00"
"C12-13","Hypopharynx","65","Notavailable","0.00","0.00","0.00"
"C15","Oesophagus","61","Notavailable","0.00","0.00","0.00"
"C61","Prostate","60","Notavailable","0.01","0.01","0.00"
"C54","Corpusuteri","34","Notavailable","0.00","0.00","0.00"
"C23","Gallbladder","28","Notavailable","0.00","0.00","0.00"
"C45","Mesothelioma","13","Notavailable","0.00","0.00","0.00"
