ICD,Cancer,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","11305512","Notavailable","1077.0","1019.9","31.65"
"C33-34","Lung","1683169","Notavailable","160.3","151.3","5.51"
"C18-21","Colorectum","1403008","Notavailable","133.7","123.9","-"
"C61","Prostate","1216139","Notavailable","251.3","240.6","8.83"
"C50","Breast","1027785","Notavailable","181.7","178.8","5.48"
"C16","Stomach","786013","Notavailable","74.9","70.1","2.70"
"C22","Liver","564754","Notavailable","53.8","51.4","1.83"
"C67","Bladder","464119","Notavailable","44.2","40.0","1.76"
"C15","Oesophagus","422376","Notavailable","40.2","38.9","1.31"
"C25","Pancreas","396844","Notavailable","37.8","34.2","1.52"
"C82-86, C96","Non-Hodgkinlymphoma","320446","Notavailable","30.5","28.5","1.12"
"C64-65","Kidney","268220","Notavailable","25.6","24.4","0.88"
"C54","Corpusuteri","232489","Notavailable","41.1","41.3","1.20"
"C91-95","Leukaemia","231937","Notavailable","22.1","20.4","0.84"
"C43","Melanomaofskin","202174","Notavailable","19.3","17.8","0.73"
"C53","Cervixuteri","194195","Notavailable","34.3","35.1","0.97"
"C00-06","Lip,oralcavity","193855","Notavailable","18.5","18.1","0.59"
"C73","Thyroid","166921","Notavailable","15.9","16.2","0.44"
"C56","Ovary","148463","Notavailable","26.2","25.6","0.83"
"C70-72","Brain,centralnervoussystem","137654","Notavailable","13.1","12.7","0.44"
"C88+C90","Multiplemyeloma","131152","Notavailable","12.5","11.6","0.46"
"C32","Larynx","118113","Notavailable","11.3","11.2","0.34"
"C23","Gallbladder","84374","Notavailable","8.0","7.3","0.32"
"C09-10","Oropharynx","53764","Notavailable","5.1","5.2","0.15"
"C12-13","Hypopharynx","49150","Notavailable","4.7","4.7","0.14"
"C11","Nasopharynx","45327","Notavailable","4.3","4.4","0.12"
"C51","Vulva","31495","Notavailable","5.6","4.9","0.22"
"C07-08","Salivaryglands","29225","Notavailable","2.8","2.6","0.10"
"C45","Mesothelioma","24682","Notavailable","2.4","2.1","0.09"
"C60","Penis","22427","Notavailable","4.6","4.5","0.18"
"C81","Hodgkinlymphoma","22323","Notavailable","2.1","2.0","0.07"
"C52","Vagina","10950","Notavailable","1.9","1.8","0.07"
"C46","Kaposisarcoma","6937","Notavailable","0.66","0.62","0.02"
"C62","Testis","6552","Notavailable","1.4","1.3","0.05"
